shop,departement,CA_P1,CA_P2,MARGE_P1,MARGE_P2,STOCK_fin_P1,STOCK_fin_P2,,PROG_CA_ttc,POURC_marge_P1,POURC_marge_P2,PROG_POURC_Marge,PROG_euro_Marge_pourc,PROG_Stock_fin,STOCK_Theorique,STOCK_surplus_POURC
LAVAL,Non défini,0,0,0,0,0,0,,"0,00",,,"0,00","0,00","0,00",0,
LAVAL,OFFRE CLUB & COLLECTIVITES,72,5,39,2,482,874,,"-93,05","64,67","36,72","-43,22","-96,05","81,27",65,"1 244,91"
LAVAL,PRODUITS NON COMMERCIALISES,0,50,0,42,470,478,,"0,00",,"100,01","0,00","0,00","1,64",650,"-26,44"
LAVAL,RANDONNEE,3702,3511,1186,1135,83322,88996,,"-5,17","38,43","38,80","0,97","-4,24","6,81",45642,"94,98"
LAVAL,SAC DE CAISSE,20,20,5,5,719,660,,"2,00","30,18","30,47","0,96","2,98","-8,13",265,"148,95"
LAVAL,SFA NON UTILISEE,0,25,0,11,1654,1263,,"0,00",,"52,30","0,00","0,00","-23,62",331,"281,22"
LAVAL,SPORTS COLLECTIFS,4311,4801,1461,1559,89151,77767,,"11,37","40,66","38,97","-4,16","6,74","-12,77",62418,"24,59"
LAVAL,SPORTS D EAU,0,0,0,0,226,597,,"0,00",,,"0,00","0,00","163,99",0,
LAVAL,SPORTS D HIVER,2255,2595,860,1008,25872,28512,,"15,07","45,77","46,60","1,82","17,17","10,20",33739,"-15,49"
LAVAL,SPORTS OUTDOOR,0,0,0,0,0,0,,"0,00",,,"0,00","0,00","0,00",0,
LAVAL,TECHNOLOGIE,740,1074,109,150,2841,3487,,"45,09","17,72","16,81","-5,17","37,59","22,75",13957,"-75,02"
LAVAL,TOTAUX,39860,44318,12557,15138,783570,891606,,"11,18","37,80","40,99","8,43","20,56","13,79",576135,"54,76"
MELLAC,ACCESSOIRES TEXTILE,957,659,490,332,12321,12628,,"-31,10","61,49","60,48","-1,64","-32,23","2,49",8573,"47,30"
MELLAC,BAGAGERIE,696,299,266,90,11360,7369,,"-57,00","45,84","36,22","-20,99","-66,03","-35,14",3892,"89,35"
MELLAC,BEACHWEAR,0,0,0,0,3722,4125,,"0,00",,,"0,00","0,00","10,81",0,
MELLAC,CYCLE,1566,1255,394,347,35234,32738,,"-19,86","30,20","33,15","9,79","-12,02","-7,08",16312,"100,69"
MELLAC,EQUITATION,0,0,0,0,0,0,,"0,00",,,"0,00","0,00","0,00",0,
MELLAC,GLISSE URBAINE,386,298,36,108,3170,3087,,"-22,82","11,10","43,61","292,90","203,25","-2,61",3872,"-20,28"
MELLAC,GO CARE,202,70,82,21,4976,5167,,"-65,11","48,67","36,33","-25,36","-73,96","3,84",915,"464,92"
MELLAC,GO FIT,1015,858,238,254,12234,9959,,"-15,48","28,14","35,60","26,54","6,95","-18,60",11148,"-10,66"
MELLAC,GO KIDS,924,816,299,326,42599,40395,,"-11,74","38,78","47,97","23,69","9,17","-5,17",10602,"280,99"
MELLAC,GO MAN,6723,6073,2799,2434,105926,117997,,"-9,67","49,96","48,10","-3,72","-13,03","11,40",78951,"49,45"
MELLAC,GO RUN,704,638,277,254,37130,39405,,"-9,41","47,24","47,76","1,10","-8,41","6,13",8292,"375,24"
MELLAC,GO SHOES,3180,3579,990,1245,105867,102365,,"12,56","37,37","41,73","11,68","25,72","-3,31",46529,"120,00"
MELLAC,GO SPORTS DE RAQUETTES,309,502,95,178,17681,14619,,"62,34","36,70","42,46","15,67","87,79","-17,32",6530,"123,88"
MELLAC,GO SWIM,461,490,195,228,11786,13769,,"6,13","50,84","55,84","9,85","16,58","16,83",6366,"116,30"
MELLAC,GOLF,0,0,0,0,0,0,,"0,00",,,"0,00","0,00","0,00",0,
MELLAC,JEUX,314,210,77,58,6411,5291,,"-33,14","29,26","32,96","12,64","-24,68","-17,47",2728,"93,95"
MELLAC,MISS GO,2778,1506,1164,683,79259,79115,,"-45,80","50,27","54,45","8,32","-41,28","-0,18",19574,"304,18"
MELLAC,Non défini,0,0,0,0,0,0,,"0,00",,,"0,00","0,00","0,00",0,
MELLAC,OFFRE CLUB & COLLECTIVITES,0,0,0,0,60,259,,"0,00",,,"0,00","0,00","330,09",0,
MELLAC,PRODUITS NON COMMERCIALISES,0,10,0,8,551,551,,"0,00",,"99,96","0,00","0,00","0,00",130,"323,47"
MELLAC,RANDONNEE,2454,1561,695,553,71492,68397,,"-36,39","33,98","42,49","25,07","-20,44","-4,33",20295,"237,01"
MELLAC,SAC DE CAISSE,22,16,6,4,963,1048,,"-29,73","30,59","30,62","0,07","-29,68","8,88",203,"416,94"
MELLAC,SFA NON UTILISEE,0,26,0,12,3376,1637,,"0,00",,"53,84","0,00","0,00","-51,52",338,"384,49"
MELLAC,SPORTS COLLECTIFS,2063,1524,759,493,61391,52074,,"-26,10","44,17","38,83","-12,09","-35,03","-15,18",19816,"162,78"
MELLAC,SPORTS D EAU,5,0,0,0,2796,2524,,"-100,00","2,65",,"-100,00","-100,00","-9,71",0,
MELLAC,SPORTS D HIVER,802,663,312,293,20921,25804,,"-17,25","46,66","52,95","13,46","-6,12","23,34",8622,"199,28"
MELLAC,SPORTS OUTDOOR,0,0,0,0,0,0,,"0,00",,,"0,00","0,00","0,00",0,
MELLAC,TECHNOLOGIE,220,365,32,59,1003,1541,,"65,90","17,30","19,37","11,95","85,72","53,71",4744,"-67,52"
MELLAC,TOTAUX,25781,21418,9204,7980,652228,641864,,"-16,92","42,84","44,71","4,36","-13,30","-1,59",278433,"130,53"
MUZILLAC,ACCESSOIRES TEXTILE,755,2636,404,1092,8169,7057,,"249,05","64,28","49,74","-22,63","170,07","-13,62",34262,"-79,40"
MUZILLAC,BAGAGERIE,385,1495,137,444,11207,4857,,"288,51","42,79","35,63","-16,74","223,49","-56,66",19434,"-75,01"
MUZILLAC,BEACHWEAR,46,106,25,33,5927,6218,,"129,58","64,48","37,89","-41,24","34,90","4,92",1372,"353,23"
MUZILLAC,CYCLE,1041,2218,238,472,19855,21806,,"113,01","27,42","25,56","-6,79","98,55","9,83",28829,"-24,36"
MUZILLAC,EQUITATION,0,0,0,0,218,18,,"0,00",,,"0,00","0,00","-91,92",0,
MUZILLAC,GLISSE URBAINE,420,691,-36,164,3518,2770,,"64,61","-10,38","28,48","-374,32","-551,56","-21,26",8987,"-69,17"
MUZILLAC,GO CARE,240,340,107,103,4024,3577,,"41,80","53,34","36,48","-31,60","-3,01","-11,11",4422,"-19,12"
MUZILLAC,GO FIT,169,406,23,144,3328,3392,,"140,39","16,38","42,59","160,02","525,07","1,93",5280,"-35,76"
MUZILLAC,GO KIDS,1007,9189,376,2117,35103,24563,,"812,48","44,82","27,64","-38,32","462,78","-30,03",119451,"-79,44"
MUZILLAC,GO MAN,3866,28811,1640,8072,69949,73462,,"645,23","50,89","33,62","-33,94","392,34","5,02",374540,"-80,39"
MUZILLAC,GO RUN,88,4316,70,1070,30748,27718,,"4 809,26","94,92","29,76","-68,64","1 439,30","-9,85",56104,"-50,60"
